number_aces,matches_aces,standing_player2,standing_player_aces
895,40,John Isner,1
890,81,Felix Auger-Aliassime,2
827,62,Hubert Hurkacz,3
768,53,Maxime Cressy,4
747,47,Nick Kyrgios,5
715,55,Alexander Bublik,6
642,62,Taylor Fritz,7
628,83,Stefanos Tsitsipas,8
590,64,Daniil Medvedev,9
588,51,Marin Cilic,10
573,36,Reilly Opelka,11
558,71,Andrey Rublev,12
508,41,Matteo Berrettini,13
496,57,Denis Shapovalov,14
493,59,Frances Tiafoe,15
476,61,Karen Khachanov,16
431,58,Brandon Nakashima,17
410,70,Casper Ruud,18
402,62,Botic van de Zandschulp,19
384,40,Arthur Rinderknech,20
370,59,Jannik Sinner,21
340,41,Oscar Otte,22
331,29,Thanasi Kokkinakis,23
330,72,Cameron Norrie,24
325,55,Sebastian Korda,25
321,33,Steve Johnson,26
313,52,Lorenzo Sonego,27
291,49,Novak Djokovic,28
290,44,Andy Murray,29
286,54,Mackenzie McDonald,30
280,52,Adrian Mannarino,31
278,63,Holger Rune,32
274,44,Laslo Djere,33
272,37,Alexander Zverev,34
271,33,Jack Draper,35
267,48,Grigor Dimitrov,36
263,37,Tallon Griekspoor,37
258,67,Carlos Alcaraz,38
254,42,Benjamin Bonzi,39
250,62,Tommy Paul,40
242,61,Pablo Carreno Busta,41
238,65,Alex de Minaur,42
237,55,Daniel Evans,43
232,46,Marcos Giron,44
228,47,Rafael Nadal,45
223,61,Miomir Kecmanovic,46
220,48,David Goffin,47
220,60,Emil Ruusuvuori,48
218,43,Richard Gasquet,49
216,46,Aslan Karatsev,50
212,15,Tim van Rijthoven,51
212,19,Jiri Vesely,52
209,59,Lorenzo Musetti,53
208,32,Thiago Monteiro,54
195,22,Alexei Popyrin,55
193,26,Benoit Paire,56
192,21,Marc-Andrea Huesler,57
191,43,Ilya Ivashka,58
191,28,J.J. Wolf,59
190,28,Borna Coric,60
190,27,Jordan Thompson,61
188,39,Soonwoo Kwon,62
179,30,Alejandro Tabilo,63
178,26,Daniel Altmaier,64
177,30,Taro Daniel,65
176,14,Quentin Halys,66
174,14,Sam Querrey,67
170,22,James Duckworth,68
168,22,Stan Wawrinka,69
166,43,Jaume Munar,70
165,19,Lloyd Harris,71
163,30,Ugo Humbert,72
161,16,Jan-Lennard Struff,73
159,44,Alex Molcan,74
156,29,Kamil Majchrzak,75
156,21,Gael Monfils,76
150,18,Christopher O'Connell,77
148,29,Jiri Lehecka,78
147,47,Alejandro Davidovich Fokina,79
146,53,Roberto Bautista Agut,80
146,34,Dominic Thiem,81
144,43,Nikoloz Basilashvili,82
140,42,Fabio Fognini,83
139,36,Filip Krajinovic,84
137,31,Marton Fucsovics,85
136,11,Nicolas Jarry,86
129,51,Albert Ramos-Vinolas,87
127,46,Jenson Brooksby,88
124,12,Dominic Stricker,89
121,22,Facundo Bagnis,90
120,33,Joao Sousa,91
118,15,Roman Safiullin,92
117,43,Francisco Cerundolo,93
115,10,Christopher Eubanks,94
115,41,Cristian Garin,95
115,33,Dusan Lajovic,96
113,13,Aljaz Bedene,97
111,18,Jason Kubler,98
109,11,Pedro Cachin,99
107,22,Denis Kudla,100
106,18,Jack Sock,101
103,32,Federico Delbonis,102
103,11,Feliciano Lopez,103
96,45,Pedro Martinez,104
94,26,John Millman,105
93,15,Elias Ymer,106
92,6,Kevin Anderson,107
92,11,Aleksandar Vukic,108
90,24,Daniel Elahi Galan,109
88,52,Sebastian Baez,110
86,28,Hugo Gaston,111
84,32,Federico Coria,112
83,39,Mikael Ymer,113
81,36,Yoshihito Nishioka,114
76,17,Henri Laaksonen,115
74,7,Vasek Pospisil,116
68,17,Tomas Martin Etcheverry,117
68,16,Fernando Verdasco,118
66,17,Peter Gojowczyk,119
65,19,Radu Albot,120
65,8,Hugo Grenier,121
65,55,Diego Schwartzman,122
63,12,Egor Gerasimov,123
61,9,Jo-Wilfried Tsonga,124
60,5,Borna Gojo,125
60,25,Corentin Moutet,126
60,6,Ben Shelton,127
57,6,Gianluca Mager,128
57,7,Max Purcell,129
56,29,Roberto Carballes Baena,130
55,12,Liam Broady,131
55,14,Yannick Hanfmann,132
55,26,Bernabe Zapata Miralles,133
52,10,Nuno Borges,134
52,7,Zhizhen Zhang,135
51,9,Stefano Travaglia,136
49,6,Antoine Bellier,137
48,9,Ryan Peniston,138
45,9,Lucas Pouille,139
44,15,Gilles Simon,140
41,17,Ricardas Berankis,141
41,4,Aleksandar Kovacevic,142
40,7,Tomas Machac,143
39,10,Juan Pablo Varillas,144
38,12,Dominik Koepfer,145
38,11,Constant Lestienne,146
38,7,Giulio Zeppieri,147
36,5,Kyle Edmund,148
35,9,Pablo Cuevas,149
35,9,Manuel Guinard,150
35,10,Mitchell Krueger,151
35,6,Jurij Rodionov,152
35,7,Andreas Seppi,153
34,3,Brandon Holt,154
34,5,Yosuke Watanuki,155
33,5,Emilio Nava,156
32,8,Norbert Gombos,157
31,5,Dennis Novak,158
30,2,Enzo Couacaud,159
29,22,Pablo Andujar,160
29,9,Juan Ignacio Londero,161
28,14,Chun-Hsin Tseng,162
27,7,Francesco Passaro,163
27,16,Carlos Taberner,164
26,5,Pierre-Hugues Herbert,165
25,11,Marco Cecchinato,166
25,4,Viktor Durasovic,167
25,4,Maximilian Marterer,168
24,5,Gregoire Barrere,169
24,3,Ramkumar Ramanathan,170
23,4,Matteo Arnaldi,171
22,14,Hugo Dellien,172
22,2,Cedrik-Marcel Stebe,173
21,3,Yibing Wu,174
20,3,Alex Bolt,175
19,3,Geoffrey Blancaneaux,176
19,12,Stefan Kozlov,177
19,6,Filip Misolic,178
18,3,Jay Clarke,179
18,4,Kaichi Uchida,180
17,3,Nicolas Alvarez Varona,181
17,5,Gijs Brouwer,182
17,6,Damir Dzumhur,183
17,4,Rinky Hijikata,184
17,4,Philipp Kohlschreiber,185
16,2,Marco Trungelliti,186
15,3,Zizou Bergs,187
15,4,Malek Jaziri,188
15,3,Zdenek Kolar,189
15,6,Pavel Kotov,190
15,8,Mikhail Kukushkin,191
15,2,Alexandar Lazarov,192
15,4,Michael Mmoh,193
15,5,Luca Nardi,194
13,4,Alexander Ritschard,195
12,3,Mirza Basic,196
12,2,Altug Celikbilek,197
12,2,Jesper de Jong,198
12,1,Lukas Klein,199
12,3,Sebastian Ofner,200
